OBJECTID,Loc_name,Match_addr,LongLabel,ShortLabel,Type,PlaceName,Place_addr,City,Subregion,RegionAbbr,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_City,IN_Subregion,IN_Region,USER_place_fips,USER_state_fips,USER_City_Name,USER_State_Name,USER_TotalPop,USER_Male,USER_Female,USER_White,USER_NonHispanic,USER_USCitizen,USER_Commute_DriveAlone,USER_Family_Married,USER_EnrolledSchool_Over3Yrs,USER_Education_Bachelors,USER_Eduction_GraduateProf,USER_Household_English,USER_PovertyLvl_2andOver,USER_NonVeteran,USER_Employed,USER_NotLaborForce,USER_House_OwnerOccupied,USER_House_Built80to99,USER_HealthIns_Covered,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,Count_Parks,Parks_Area,Road_Trail_Length,Count_Road_Trail
1,World,"City of Dothan, Alabama","City of Dothan, AL, USA",City of Dothan,City,City of Dothan,"City of Dothan, Alabama",City of Dothan,Houston County,AL,1787.232994,-85.40658,31.23344,-85.40658,31.23344,-85.51658,-85.29658,31.12344,31.34344, ,Dothan city,,Alabama,21184,1,Dothan city,Alabama,70524,0.475384266,0.524615734,0.590423118,0.952682775,0.978007487,0.382238671,0.154174465,0.236642845,0.117265045,0.074386025,0.374156316,0.617548636,0.683568714,0.453703704,0.31529692,0.237280926,0.124156316,0.457730702,8,1,0.790386054,0.049274031,16,32316163.01,53147.06352,390
2,World,"City of Auburn, Alabama","City of Auburn, AL, USA",City of Auburn,City,City of Auburn,"City of Auburn, Alabama",City of Auburn,Lee County,AL,154184.9022,-85.48963,32.60839,-85.48963,32.60839,-85.58663,-85.39263,32.51139,32.70539, ,Auburn city,,Alabama,3076,1,Auburn city,Alabama,80009,0.489169968,0.510830032,0.687922609,0.949793148,0.931345224,0.370695797,0.15387019,0.485882838,0.158157207,0.15901961,0.332525091,0.589746154,0.786611506,0.496756615,0.332050144,0.19537802,0.118111712,0.643065155,8,2,0.796916077,0.050001777,35,70436914.08,109143.3081,547
3,World,"Hooper City, Alabama","Hooper City, AL, USA",Hooper City,Village,Hooper City,"Hooper City, Alabama",Hooper City,Jefferson County,AL,0,-86.841103,33.555383,-86.841103,33.555383,-86.848103,-86.834103,33.548383,33.562383, ,Hoover city,,Alabama,35896,1,Hoover city,Alabama,92427,0.480963355,0.519036645,0.735867225,0.940623411,0.963376503,0.376394344,0.226200136,0.238599111,0.234844796,0.193655534,0.363757344,0.858234066,0.699481753,0.532073961,0.244690404,0.290456252,0.156177307,0.512707326,8,3,0.801696325,0.050532829,142,251430486.3,76335.16272,1011
4,World,"City of Birmingham, Alabama","City of Birmingham, AL, USA",City of Birmingham,City,City of Birmingham,"City of Birmingham, Alabama",City of Birmingham,Jefferson County,AL,288203.3722,-86.79867,33.52758,-86.79867,33.52758,-87.04867,-86.54867,33.27758,33.77758, ,Birmingham city,,Alabama,7000,1,Birmingham city,Alabama,196353,0.467871639,0.532128361,0.223846847,0.969330746,0.966560226,0.339770719,0.096733943,0.243423834,0.130509847,0.077564387,0.424510957,0.433866557,0.762188507,0.458419275,0.335732074,0.194853147,0.072221968,0.514410271,8,4,0.801552565,0.050516879,145,242143207.1,82722.49001,1051
5,World,"Madison, Alabama","Madison, AL, USA",Madison,City,Madison,"City of Madison, Alabama",City of Madison,Madison County,AL,408255.5008,-86.76168,34.71125,-86.76168,34.71125,-86.82368,-86.69968,34.64925,34.77325, ,Madison city,,Alabama,45784,1,Madison city,Alabama,59795,0.484338155,0.515661845,0.60777657,0.909089389,0.953541266,0.342854754,0.227912033,0.285776403,0.209064303,0.196203696,0.292817125,0.86599214,0.647930429,0.498720629,0.25988795,0.264888369,0.136332469,0.557354294,8,5,0.807862415,0.051215807,50,63114197.94,19747.79835,288
6,World,"City of Mobile, Alabama","City of Mobile, AL, USA",City of Mobile,City,City of Mobile,"City of Mobile, Alabama",City of Mobile,Mobile County,AL,265737.6896,-88.10095,30.66731,-88.10095,30.66731,-88.26195,-87.93995,30.50631,30.82831, ,Mobile city,,Alabama,50000,1,Mobile city,Alabama,183282,0.46372257,0.53627743,0.414830698,0.967159896,0.980581836,0.379077051,0.139811875,0.237688371,0.138982551,0.074639081,0.401250532,0.582403073,0.728691306,0.455063781,0.323032267,0.227747406,0.097581868,0.489960825,8,6,0.787832037,0.048988651,105,151134730.6,36998.79941,584
7,World,"City of Huntsville, Alabama","City of Huntsville, AL, USA",City of Huntsville,City,City of Huntsville,"City of Huntsville, Alabama",City of Huntsville,Limestone County,AL,396325.4066,-86.80156,34.58621,-86.80156,34.58621,-87.01356,-86.58956,34.37421,34.79821, ,Huntsville city,,Alabama,37000,1,Huntsville city,Alabama,222363,0.4986576,0.5013424,0.590570374,0.940606126,0.971227228,0.389430796,0.169996807,0.252560003,0.182894636,0.145060104,0.39513768,0.678161385,0.715100984,0.51174431,0.285546606,0.24816179,0.112945949,0.547788976,8,7,0.807177188,0.05114002,14,49488814.9,14925.59048,230
8,World,"City of Tuscaloosa, Alabama","City of Tuscaloosa, AL, USA",City of Tuscaloosa,City,City of Tuscaloosa,"City of Tuscaloosa, Alabama",City of Tuscaloosa,Tuscaloosa County,AL,300528.1613,-87.52701,33.23452,-87.52701,33.23452,-87.71901,-87.33501,33.04252,33.42652, ,Tuscaloosa city,,Alabama,77256,1,Tuscaloosa city,Alabama,110598,0.466997595,0.533002405,0.50649198,0.967241722,0.977874826,0.38066692,0.124188503,0.381100924,0.128184958,0.103455759,0.355946762,0.506519105,0.79384799,0.460559865,0.358623122,0.168465976,0.103283965,0.578536682,8,8,0.80004996,0.050350087,28,47862143.4,49497.4464,755
9,World,"Montgomery, Alabama","Montgomery, AL, USA",Montgomery,City,Montgomery,"City of Montgomery, Alabama",City of Montgomery,Montgomery County,AL,149759.7334,-86.26631,32.34703,-86.26631,32.34703,-86.41831,-86.11431,32.19503,32.49903, ,Montgomery city,,Alabama,51000,1,Montgomery city,Alabama,196986,0.467160103,0.532839897,0.264592408,0.971058857,0.965880824,0.349623831,0.133816616,0.250078686,0.134212584,0.102271227,0.383590712,0.598032347,0.69538952,0.440533845,0.318890683,0.239758155,0.143096464,0.4768613,8,9,0.795638139,0.049859567,56,88409692.32,22939.64565,181
10,World,"Casas Adobes, Arizona","Casas Adobes, AZ, USA",Casas Adobes,City,Casas Adobes,"Casas Adobes, Arizona",Casas Adobes,Pima County,AZ,0,-110.9773874,32.3370815,-110.9773874,32.3370815,-111.0413874,-110.9133874,32.2730815,32.4010815,CDP,Casas Adobes CDP,,Arizona,10670,4,Casas Adobes CDP,Arizona,75513,0.441963635,0.558036365,0.6805848,0.731688583,0.971077828,0.357567571,0.194138758,0.184908559,0.168156476,0.144597619,0.34702634,0.771350628,0.754320448,0.48383722,0.329916703,0.289605763,0.197356747,0.528677181,8,10,0.795589841,0.049854191,137,1159399759,402904.93,2430
